site_id,date,NDVI
WL-BHE-03,2023-03,0.6357
WL-BHE-03,2023-04,0.7006
WL-BHE-03,2023-05,0.6843
WL-BHE-03,2023-06,0.6547
WL-BHE-03,2023-07,0.5482
WL-BHE-03,2023-08,0.4993
WL-BHE-03,2023-09,0.4742
WL-BHE-03,2023-10,0.5274
WL-BHE-03,2023-11,0.6332
WL-BHE-03,2024-01,0.6128
WL-BHE-03,2024-02,0.6794
WL-BHE-03,2024-03,0.7078
WL-BHE-03,2024-04,0.7389
WL-BHE-03,2024-05,0.6911
WL-BHE-03,2024-06,0.6628
WL-BHE-03,2024-07,0.5859
WL-BHE-03,2024-08,0.4945
WL-BHE-03,2024-09,0.4969
WL-BHE-03,2024-10,0.4954
WL-BHE-03,2024-11,0.5869
WL-BHE-03,2024-12,0.583
WL-BHE-03,2025-01,0.7104
WL-BHE-03,2025-03,0.5526
WL-BHE-03,2025-04,0.7523
WL-BHE-03,2025-05,0.7083
WL-BHE-03,2025-06,0.6492
WL-BHE-03,2025-07,0.5545
WL-BHE-03,2025-08,0.4917
WL-BHE-03,2025-09,0.4368
WL-BHE-03,2025-10,0.5682
WL-BHE-03,2025-11,0.6301
WL-BHE-03,2025-12,0.6736
WL-BHE-03,2026-01,0.7014
WL-BHE-03,2026-02,0.6753
WL-BHE-03,2026-03,0.7332
WL-BHE-03,2026-04,0.7625
WL-BHE-03,2026-05,0.7453
WL-BHE-03,2026-06,0.71
WL-BHE-03,2026-07,0.6213
WL-BHE-04,2023-01,0.7143
WL-BHE-04,2023-03,0.7426
WL-BHE-04,2023-04,0.7544
WL-BHE-04,2023-05,0.6915
WL-BHE-04,2023-06,0.6799
WL-BHE-04,2023-07,0.6012
WL-BHE-04,2023-08,0.5719
WL-BHE-04,2023-09,0.5207
WL-BHE-04,2023-10,0.5304
WL-BHE-04,2023-11,0.6157
WL-BHE-04,2024-01,0.3949
WL-BHE-04,2024-02,0.7033
WL-BHE-04,2024-03,0.7283
WL-BHE-04,2024-04,0.7689
WL-BHE-04,2024-05,0.7334
WL-BHE-04,2024-06,0.7181
WL-BHE-04,2024-07,0.6569
WL-BHE-04,2024-08,0.5643
WL-BHE-04,2024-09,0.5571
WL-BHE-04,2024-10,0.5909
WL-BHE-04,2024-11,0.6201
WL-BHE-04,2024-12,0.5895
WL-BHE-04,2025-01,0.734
WL-BHE-04,2025-03,0.3561
WL-BHE-04,2025-04,0.8097
WL-BHE-04,2025-05,0.7885
WL-BHE-04,2025-06,0.7179
WL-BHE-04,2025-07,0.6261
WL-BHE-04,2025-08,0.5445
WL-BHE-04,2025-09,0.4808
WL-BHE-04,2025-10,0.5948
WL-BHE-04,2025-11,0.6491
WL-BHE-04,2025-12,0.695
WL-BHE-04,2026-01,0.7618
WL-BHE-04,2026-02,0.7555
WL-BHE-04,2026-03,0.7821
WL-BHE-04,2026-04,0.811
WL-BHE-04,2026-05,0.8056
WL-BHE-04,2026-06,0.7516
WL-BHE-04,2026-07,0.6499
WL-BHE-05,2023-01,0.6691
